Club,League,"Banning orders (note: an individual can have multiple bans, therefore the number of bans is not equal to the number of individuals who have a ban)",Notes
AFC Bournemouth,Championship ,2,Figures include bans by the British Transport Police (BTP).
Birmingham City,Championship ,4,Figures include bans by the British Transport Police (BTP).
Blackburn Rovers,Championship ,2,Figures include bans by the British Transport Police (BTP).
Blackpool,Championship ,3,Figures include bans by the British Transport Police (BTP).
Bolton Wanderers,Championship ,2,Figures include bans by the British Transport Police (BTP).
Brentford,Championship ,2,Figures include bans by the British Transport Police (BTP).
Brighton & Hove Albion,Championship ,1,Figures include bans by the British Transport Police (BTP).
Cardiff City,Championship ,13,Figures include bans by the British Transport Police (BTP).
Charlton Athletic,Championship ,2,Figures include bans by the British Transport Police (BTP).
Derby County,Championship ,6,Figures include bans by the British Transport Police (BTP).
Fulham,Championship ,3,Figures include bans by the British Transport Police (BTP).
Huddersfield Town,Championship ,1,Figures include bans by the British Transport Police (BTP).
Ipswich Town,Championship ,1,Figures include bans by the British Transport Police (BTP).
Leeds United,Championship ,20,Figures include bans by the British Transport Police (BTP).
Middlesbrough,Championship ,9,Figures include bans by the British Transport Police (BTP).
Millwall,Championship ,7,Figures include bans by the British Transport Police (BTP).
Norwich City,Championship ,1,Figures include bans by the British Transport Police (BTP).
Nottingham  Forest,Championship ,4,Figures include bans by the British Transport Police (BTP).
Reading,Championship ,6,Figures include bans by the British Transport Police (BTP).
Rotherham United,Championship ,3,Figures include bans by the British Transport Police (BTP).
Sheffield Wednesday,Championship ,5,Figures include bans by the British Transport Police (BTP).
Watford,Championship ,1,Figures include bans by the British Transport Police (BTP).
Wigan Athletic,Championship ,1,Figures include bans by the British Transport Police (BTP).
Wolverhampton Wanderers,Championship ,22,Figures include bans by the British Transport Police (BTP).
AFC Telford,Football Conference,4,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Aldershot Town,Football Conference,3,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Alfreton Town,Football Conference,0,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Altrincham,Football Conference,0,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Barnet,Football Conference,0,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Braintree Town,Football Conference,0,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Bristol Rovers,Football Conference,31,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
Chester,Football Conference,8,"As of the start of the 2015-16 season, the Football Conference changed its name to the National League."
